experiment_name,optimizer,scheduler,rl_warmup,lr,final_psnr,final_ssim,final_mse,final_mae,iterations,converged,convergence_iter,total_time_s,time_per_iter_ms,timestamp,error
opt_sweep_sgd_w50,sgd,constant,50,0.001,22.761634659273025,0.7444978312415461,0.005294641191541867,0.04971020397746706,51.0,True,50.0,7.940976858139038,155.70542859096153,2026-02-18T00:55:23.589486,
opt_sweep_sgd_momentum_w50,sgd_momentum,constant,50,0.001,22.76163215670197,0.744497394930415,0.0052946442425176815,0.04971023158549934,51.0,True,50.0,7.084012746810913,138.9022107217826,2026-02-18T00:55:30.674562,
opt_sweep_adam_w50,adam,constant,50,0.001,17.489031336152575,0.48251861667890045,0.017827763590605894,0.09985133526249707,500.0,False,,7.561537027359009,15.123074054718018,2026-02-18T00:55:38.236926,
opt_sweep_adamw_w50,adamw,constant,50,0.001,17.500608982537475,0.48280220505935806,0.017780300711158444,0.09972032624505069,500.0,False,,7.718462705612183,15.436925411224365,2026-02-18T00:55:45.956661,
opt_sweep_radam_w50,radam,constant,50,0.001,20.05163599045475,0.5837848527513096,0.009881807761218558,0.07411937651725596,500.0,False,,7.522602796554565,15.04520559310913,2026-02-18T00:55:53.480167,
opt_sweep_nadam_w50,nadam,constant,50,0.002,16.00619040069801,0.4292860480367981,0.025083085581308857,0.11814814941828847,500.0,False,,7.412509918212891,14.825019836425781,2026-02-18T00:56:00.893548,
opt_sweep_adagrad_w50,adagrad,constant,50,0.01,17.292337938019493,0.47004441802705527,0.018653752328150218,0.10337980041103376,500.0,False,,7.382208585739136,14.764417171478271,2026-02-18T00:56:08.276699,
opt_sweep_rmsprop_w50,rmsprop,constant,50,0.001,16.06182123504819,0.4276686901910869,0.02476383356442532,0.1193476945526368,500.0,False,,7.461475610733032,14.922951221466064,2026-02-18T00:56:15.739282,
opt_sweep_adadelta_w50,adadelta,constant,50,1.0,22.75446405571894,0.7436004266368841,0.005303390354675894,0.04980201180172294,500.0,False,,7.433719158172607,14.867438316345215,2026-02-18T00:56:23.173879,
opt_sweep_lbfgs_w50,lbfgs,constant,50,1.0,,,,,,,,,,,The size of tensor a (129) must match the size of tensor b (128) at non-singleton dimension 1
